Полка;Код;Наименование (из справочника);Кол-во;Срок годности;Срок (как в записи);Комментарий;Файл-источник;Проверить
83;22911;Тон. основа со светорассеив. комплексом «студио-арт» - лёгкий бронзовый;1;2014-06-30;06/14;полка 83;IMG_7729;
83;17465;Тон. основа «блеск-контроль» - слоновая кость;1;2012-09-30;09/12;полка 83;IMG_7729;
83;21632;Румяна в шариках «премиум» giordani gold - естественное сияние;1;2014-01-31;01/14;полка 83;IMG_7730;
83;12759;Не опознан (код 12759);1;2011-01-31;01/11;полка 83;IMG_7730;"НАЗВАНИЕ НЕ УСТАНОВЛЕНО; ЦЕН В ПРАЙС-ЛИСТАХ НЕТ; ПРОВЕРИТЬ ВИЗУАЛЬНО"
83;0305;Не опознан (код 0305);1;2006-02-28;02/06;полка 83;IMG_7730;"НАЗВАНИЕ НЕ УСТАНОВЛЕНО; ЦЕН В ПРАЙС-ЛИСТАХ НЕТ; ПРОВЕРИТЬ ВИЗУАЛЬНО"
83;28759;Кисть для пудры;5;;;полка 83;IMG_7730;
84;34304;Матирующий ночной крем для жирной кожи optimals hydra;11;2021-04-30;04/21;полка 84;IMG_7731;
84;34608;Увлажняющая маска для всех типов кожи optimals;2;2021-06-30;06/21;полка 84;IMG_7731;
84;34608;Увлажняющая маска для всех типов кожи optimals;1;2021-09-30;09/21;полка 84;IMG_7731;
87;29706;Нутрикомплекс для волос и ногтей;20;2019-01-31;01/19;полка 87;IMG_7732;
87;32557;Напиток «Аква Глоу» с Ceramosides™ и брусникой;2;2019-06-30;06/19;полка 87;IMG_7732;
87;29693;Протеиновый батончик c ягодами natural balance;1;2022-04-30;04/22;полка 87;IMG_7732;
64;20612;Шампунь для волос и тела «пингвинёнок пиф»;2;;;полка 64;IMG_7734;
64;35773;Детское масло для кожи Baby O;2;2023-03-31;03/23;полка 64;IMG_7734;
64;35776;Очищающее молочко для кожи под подгузником baby o;2;2023-04-30;04/23;полка 64;IMG_7734;
64;39354;Детский шампунь для волос и тела «винни-пух»;1;2024-04-30;04/24;полка 64;IMG_7734;
64;39360;Шампунь для волос и тела oriflame disney pixar «тачки»;1;2024-08-31;08/24;полка 64;IMG_7734;
64;35843;Шампунь для волос и тела disney pixar «история игрушек 4»;1;2023-09-30;09/23;полка 64;IMG_7734;
64;5056;Гель для мытья волос и тела Oriflame Hair and Body Wash;1;2010-11-30;11/10;полка 64;IMG_7734;"НАЗВАНИЕ ПО ОФИЦИАЛЬНОМУ ДОКУМЕНТУ ORIFLAME; ЦЕН В ПРАЙС-ЛИСТАХ НЕТ; срок «11/00» — год под вопросом; ПРОВЕРИТЬ ВИЗУАЛЬНО"
64;25282;Детский шампунь для волос и тела;1;2018-02-28;02/18;полка 64;IMG_7734;
64;26303;Набор аксессуаров для волос «забавный жираф»;1;;;полка 64;IMG_7734;
64;35403;Туалетная вода «минни маус»;2;2021-11-30;11/21;полка 64;IMG_7734;
64;34888;Туалетная вода «русалочка»;1;2022-09-30;09/22;полка 64;IMG_7734;
64;31139;"Пена для ванны и шампунь для волос и тела 3-в-1 "" Человек-паук """;6;2022-04-30;04/22;полка 64;IMG_7735;
64;28266;Детская зубная щётка (мягкая) - розовая;7;;;полка 64;IMG_7735;
21;31669;"Гель для душа "" Ананас и шалфей """;5;2018-07-31;07/18;полка 21;IMG_7736;
21;30882;"Крем для душа "" Ваниль и гранат """;2;2017-03-31;03/17;полка 21;IMG_7736;
21;23409;"Расслабляющий гель для душа "" Инжир и лаванда """;2;2018-06-30;06/18;полка 21;IMG_7736;
21;22675;Питательный крем для душа «пшеница и кокос»;2;2014-03-31;03/14;полка 21;IMG_7736;
21;22671;Смягчающий крем для душа «жожоба и манго»;1;2017-01-31;01/17;полка 21;IMG_7736;
21;24213;"Увлажняющий гель для душа "" Алоэ и арбуз "" . большой объём";2;2018-10-31;10/18;полка 21;IMG_7736;
21;24212;"Расслабляющий гель для душа "" Инжир и лаванда "" . большой объём";1;2018-03-31;03/18;полка 21;IMG_7736;
21;30013;"Увлажняющий крем для душа "" Базилик и персик "" . большой объём";1;2018-04-30;04/18;полка 21;IMG_7736;
21;22674;Смягчающий крем для душа «жожоба и манго». большой объём;1;2017-06-30;06/17;полка 21;IMG_7736;
21;12584;Гель для душа для чувствительной кожи «Манго и йогурт»;1;;;полка 21;IMG_7736;"НАЗВАНИЕ ПО ОФИЦИАЛЬНОМУ ДОКУМЕНТУ ORIFLAME; ЦЕН В ПРАЙС-ЛИСТАХ НЕТ; ПРОВЕРИТЬ ВИЗУАЛЬНО"
21;21876;"Освежающий гель для душа "" Шведский spa салон """;1;2018-07-31;07/18;полка 21;IMG_7736;
21;30545;Крем для душа «уверенная победа»;1;2017-01-31;01/17;полка 21;IMG_7737;
21;31830;Гель для душа solar;1;2018-03-31;03/18;полка 21;IMG_7737;
21;18911;Гель для душа infinite rush;1;2017-12-31;12/17;полка 21;IMG_7737;
21;32638;Гель для душа «японские церемонии»;1;2018-11-30;11/18;полка 21;IMG_7737;
21;32610;Отшелушивающий гель для душа «клубника и лайм»;2;;;полка 21;IMG_7737;
21;26670;"Шампунь для тонких волос "" Эксперт - максимальный объём """;13;2019-05-31;05/19;полка 21;IMG_7737;
21;16267;Шампунь-уход «эксперт солнцезащитный»;1;2014-03-31;03/14;полка 21;IMG_7737;
21;2054;Кондиционер для волос Hair Solutions Balance (жирные корни, сухие кончики);4;2007-08-31;08/07;полка 21;IMG_7737;"НАЗВАНИЕ ПО ОФИЦИАЛЬНОМУ ДОКУМЕНТУ ORIFLAME; ЦЕН В ПРАЙС-ЛИСТАХ НЕТ; ПРОВЕРИТЬ ВИЗУАЛЬНО"
21;2060;Кондиционер для окрашенных волос Hair Solutions Colour Repair;1;2007-11-30;11/07;полка 21;IMG_7737;"НАЗВАНИЕ ПО ОФИЦИАЛЬНОМУ ДОКУМЕНТУ ORIFLAME; ЦЕН В ПРАЙС-ЛИСТАХ НЕТ; ПРОВЕРИТЬ ВИЗУАЛЬНО"
38;30014;Крем для ног с ароматом мандарина и имбиря «зимняя забота»;4;2016-08-31;08/16;полка 38;IMG_7738;
38;30353;Крем для ног «лимон и лаванда»;3;2016-12-31;12/16;полка 38;IMG_7738;
38;23277;"Скраб для ног глубокого действия 2-в-1 "" Актив-уход """;2;2017-02-28;02/17;полка 38;IMG_7738;
38;30908;Крем для ног «скандинавские ягоды»;1;2017-08-31;08/17;полка 38;IMG_7738;
38;32370;Ночной увлажняющий крем для ног feet up comfort;1;2023-10-31;10/23;полка 38;IMG_7738;
38;31283;"Освежающий крем для ног "" Мята и киви """;1;2018-01-31;01/18;полка 38;IMG_7738;
38;32375;Расслабляющая ванночка для ног feet up comfort;3;2018-12-31;12/18;полка 38;IMG_7738;
38;1998;Не опознан (код 1998);1;2006-07-31;07/06;полка 38;IMG_7738;"НАЗВАНИЕ НЕ УСТАНОВЛЕНО; ЦЕН В ПРАЙС-ЛИСТАХ НЕТ; ПРОВЕРИТЬ ВИЗУАЛЬНО"
38;13063;Дезодорант-антиперсперант 24-часового действия elvie;3;;;полка 38;IMG_7738;
38;20573;Шариковый дезодорант-антиперспирант с алоэ вера и маракуйей;1;;;полка 38;IMG_7738;"НАЗВАНИЕ ПО ОФИЦИАЛЬНОМУ ДОКУМЕНТУ ORIFLAME; ЦЕН В ПРАЙС-ЛИСТАХ НЕТ; ПРОВЕРИТЬ ВИЗУАЛЬНО"
38;14685;Дезодорант-антиперспирант 24 ч Delight;2;;;полка 38;IMG_7738;"НАЗВАНИЕ ПО ОФИЦИАЛЬНОМУ ДОКУМЕНТУ ORIFLAME; ЦЕН В ПРАЙС-ЛИСТАХ НЕТ; ПРОВЕРИТЬ ВИЗУАЛЬНО"
38;7049;Не опознан (код 7049);1;2009-09-30;09/09;полка 38;IMG_7739;"НАЗВАНИЕ НЕ УСТАНОВЛЕНО; ЦЕН В ПРАЙС-ЛИСТАХ НЕТ; ПРОВЕРИТЬ ВИЗУАЛЬНО"
38;24457;Женский спрей-дезодорант для тела more by demi;1;2016-04-30;04/16;полка 38;IMG_7739;
38;24890;"Освежающий дезодорант для интимной гигиены "" Феминэль """;1;;;полка 38;IMG_7739;
38;31706;Спрей-дезодорант для тела paradise;1;2020-07-31;07/20;полка 38;IMG_7739;
48;19673;Туалетная вода true instinct;1;;;полка 48;IMG_7740;
48;24159;Женская туалетная вода london;1;;;полка 48;IMG_7740;
48;30399;Парфюмерная вода miss giordani;1;;;полка 48;IMG_7740;
под зеркалом;33469;Шампунь и кондиционер 2-в-1 «моана»;160;2020-10-31;10/20;под зеркалом;IMG_7741;
под зеркалом;18819;Щётка для тела;37;;;под зеркалом;IMG_7741;
39;33993;Мыло «норд экстрим»;14;2020-10-31;10/20;полка 39;IMG_7742;
39;35532;Парфюмерная вода so fever together;31;2022-07-31;07/22;полка 39;IMG_7742;
39;25444;"Ароматизированный тальк для тела "" Освежающий бриз """;11;2020-08-31;08/20;полка 39;IMG_7742;
39;34012;Мыло «нежность цветов»;34;2020-10-31;10/20;полка 39;IMG_7742;
39;35853;Мыло festive wonderland;33;2023-09-30;09/23;полка 39;IMG_7742;
39;31867;Подарочное мыло «звездное сияние»;6;2018-11-30;11/18;полка 39;IMG_7742;
58;32144;"Увлажняющий лосьон для лица spf15 "" Аква + """;12;2018-02-28;02/18;полка 58;IMG_7743;
58;18367;Питательная маска для волос Royal Velvet Deluxe;1;2013-02-28;02/13;полка 58;IMG_7743;"НАЗВАНИЕ ПО ОФИЦИАЛЬНОМУ ДОКУМЕНТУ ORIFLAME; ЦЕН В ПРАЙС-ЛИСТАХ НЕТ; ПРОВЕРИТЬ ВИЗУАЛЬНО"
58;15968;Ретиноловая маска-пилинг «лифт-эксперт»;1;2012-03-31;03/12;полка 58;IMG_7743;
58;22818;Дневн. крем глубокого увлажнения с лёгким тон. эффектом «аква-ритм»;1;2015-08-31;08/15;полка 58;IMG_7743;
58;31025;Набор разглаживающих мини-кремов «эластичность+»;1;2018-03-31;03/18;полка 58;IMG_7743;
58;25264;"Крем для век "" Невероятный эффект """;2;2018-03-31;03/18;полка 58;IMG_7743;
58;31926;"Дневной крем-флюид "" Огурец и череда """;1;2018-03-31;03/18;полка 58;IMG_7743;
58;13659;Клеточный крем молодости diamond cellular;1;2020-01-31;01/20;полка 58;IMG_7743;
58;24344;Ночной крем «энергия витаминов»;1;2015-02-28;02/15;полка 58;IMG_7743;
58;31861;Набор для ухода за кожей рук «шведский спа-салон»;1;2018-11-30;11/18;полка 58;IMG_7743;
58;12484;Крем для тела ультрапитательный, 200 мл;1;2014-07-31;07/14;полка 58;IMG_7743;
58;17437;Витаминный крем для тела Vitamin Body Cream;1;;;полка 58;IMG_7743;"НАЗВАНИЕ ПО ОФИЦИАЛЬНОМУ ДОКУМЕНТУ ORIFLAME; ЦЕН В ПРАЙС-ЛИСТАХ НЕТ; ПРОВЕРИТЬ ВИЗУАЛЬНО"
58;17549;Крем для тела «новогодняя сказка»;1;2013-08-31;08/13;полка 58;IMG_7744;
